start_date,end_date,country_name,iso,location,dis_type,dis_subtype,total_deaths,total_affected,total_dam,insured_losses,disaster_no,associated_dis,associated_dis2
/02/2012,/02/2012,Azerbaijan,AZE,Baku district (Absheron province),Extreme temperature ,Cold wave,5,0,0,0,2012-0019,--,--
/12/1989,/12/1989,Bangladesh,BGD,North,Extreme temperature ,Cold wave,100,0,0,0,1989-0222,--,--
/01/1989,/01/1989,Bangladesh,BGD,,Extreme temperature ,Cold wave,70,0,0,0,1989-0247,--,--
29/12/1990,29/12/1990,Bangladesh,BGD,,Extreme temperature ,Cold wave,67,0,0,0,1990-0424,--,--
01/01/1990,01/01/1990,Bangladesh,BGD,,Extreme temperature ,Cold wave,50,0,0,0,1990-0706,--,--
24/12/1991,06/01/1992,Bangladesh,BGD,West and North Bangladesh,Extreme temperature ,Cold wave,182,0,0,0,1991-0433,--,--
/02/1994,/02/1994,Bangladesh,BGD,North and Northwestern districts,Extreme temperature ,Cold wave,29,0,0,0,1994-0612,--,--
/01/1995,/01/1995,Bangladesh,BGD,"Rajshahi, Rangpur, Pabna, Dinajpur",Extreme temperature ,Cold wave,120,0,0,0,1995-0001,--,--
/01/1996,/01/1996,Bangladesh,BGD,"Gaibandha, Dinajpur, Rangpur, Nilphamari ",Extreme temperature ,Cold wave,200,0,0,0,1996-0013,--,--
21/01/1997,21/01/1997,Bangladesh,BGD,Dinajpur (level 2) Level 1 = Rajshahi,Extreme temperature ,Cold wave,33,0,0,0,1997-0316,--,--
09/01/1998,09/01/1998,Bangladesh,BGD,"Jessore, Rajshahi, Khulna",Extreme temperature ,Cold wave,120,34000,0,0,1998-0002,--,--
/01/2000,/01/2000,Bangladesh,BGD,"Barisal, Chittagong, Dhaka, Khulna, Rajshahi, Rangpur, Sylhet provinces",Extreme temperature ,Cold wave,49,0,0,0,2000-0003,--,--
/12/2001,/12/2001,Bangladesh,BGD,"Panchagarh, Thakurgaon, Dinajpur, Nilphamari districts (Rangpur province), Satkhira, Jessore districts (Khulna province), Sylhet, Sunamganj districts (Sylhet province)",Extreme temperature ,Cold wave,6,2000,0,0,2001-0734,--,--
15/12/2002,/01/2003,Bangladesh,BGD,"Rajshahi, Rangpur provinces",Extreme temperature ,Cold wave,700,50000,0,0,2002-0819,--,--
10/05/2003,12/06/2003,Bangladesh,BGD,"Dhaka, Khulna, Rajshahi provinces",Extreme temperature ,Heat wave,62,0,0,0,2003-0250,--,--
15/12/2003,/01/2004,Bangladesh,BGD,"Chittagong, Dhaka, Rajshahi, Rangpur provinces",Extreme temperature ,Cold wave,153,200,0,0,2003-0636,--,--
/07/2005,/07/2005,Bangladesh,BGD,"Barisal, Chittagong, Dhaka, Khulna, Rajshahi, Rangpur, Sylhet provinces",Extreme temperature ,Heat wave,0,0,0,0,2005-0323,--,--
/12/2005,/01/2006,Bangladesh,BGD,"Chittagong district (Chittagong province), Jessore district (Khulna province), Rajshahi, Pabna districts (Rajshahi province), Thakurgaon, Kurigram districts (Rangpur province)",Extreme temperature ,Severe winter conditions,100,1000,0,0,2005-0701,--,--
/01/2007,/01/2007,Bangladesh,BGD,"Panchagarh, Thakurgaon, Dinajpur, Nilphamari, Lalmonirhat, Gaibandha, Kurigram, Rangpur districts (Rangpur province), Joypurhat, Bogra, Sirajganj, Rajshahi, Pabna, Nawabganj districts (Rajshahi province), Mymensingh, Jamalpur, Kishoreganj, Sherpur, Gazipur, Shariatpur, Rajbari, Gopalganj districts (Dhaka), Jhalokati district (Barisal province), Khulna district (Khulna province), Brahamanbaria district (Chittagong province), Sylhet, Maulvibazar, Sunamganj districts (Sylhet province)",Extreme temperature ,Severe winter conditions,130,100000,0,0,2007-0033,--,--
15/12/2009,31/01/2010,Bangladesh,BGD,"Rajbari, Manikganj, Tangail, Sherpur districts (Dhaka province), Damurhuda, Sadar, Jiban Naga (Chuadanga district, Khulna province), Jessore, Bagerhat, Khulna, Meherpur, Satkhira districts (Khulna province), Sadar, Sripur (Magura district, Khulna province), Naogaon, Pabna, Bogra, Sirajganj districts (Rajshahi province), Biral, Fulbari (Dinajpur district, Rangpur province), Fulchari, Sundarganj, Saghata, Gabindaganj, Sadullapu (Gaibandha district, Rangpur province), Tentulia, Debiganj, Atwari (Panchagarh district, Rangpur province), Baliadangi, Haripur, Ranisenkail (Thakurgaon district, Rangpur province), Dimla, Jaldhaka (Nilphamari district, Rangpur province), Hatibandha, Patgram, Aditmari (Lalmonirhat district, Rangpur province), Roumari, Chilmari, Ulipur (Kurigram district, Rangpur province), Gangachara, Pirganj (Rangpur district, Rangpur province)",Extreme temperature ,Cold wave,135,50000,0,0,2009-0595,--,--
07/01/2011,20/02/2011,Bangladesh,BGD,"Barguna district (Barisal province), Nazirpur upazila (Pirojpur district, Barisal province), Gaibandha, Kurigram, Thakurgaon, Dinajpur districts (Rangpur province), Gabura city (Rangpur district, Rangpur province), Domar upazila (Nilphamari district, Rangpur province), Tetulia upazila (Panchagarh district, Rangpur province), Dakope upazila (Khulna district, Khulna province), Kushtia, Chuadanga districts (Khulna province), Kalaroa upazila (Satkhira district, Khulna province), Tarail upazila (Kishoreganj district, Dhaka province), Manikganj, Sherpur districts (Dhaka province), Sirajganj, Rajshahi districts (Rajshahi province), Ishwardi city (Pabna district, Rajshahi province)",Extreme temperature ,Cold wave,50,100000,0,0,2011-0018,--,--
13/12/2011,18/12/2011,Bangladesh,BGD,"Barisal, Chittagong, Khulna, Rangpur provinces",Extreme temperature ,Cold wave,12,2000,0,0,2011-0525,--,--
/12/2012,/02/2013,Bangladesh,BGD,"Panchagarh, Thakurgaon, Dinajpur, Nilphamari, Lalmonirhat, Rangpur, Kurigram, Gaibandha districts (Rangpur province), Bogra, Joypurhat, Naogaon, Nawabganj, Rajshahi, Natore, Sirajganj, Pabna districts (Rajshahi province), Mymensingh, Faridpur, Madaripur districts (Dhaka province), Maulvibazar district (Sylhet province), Kushtia, Jessore districts (Khuna province)",Extreme temperature ,Cold wave,72,75000,0,0,2012-0509,--,--
/05/2000,/05/2000,Belarus,BLR,"Brest, Gomel, Grodno, Minsk, Minsk City, Mogilev, Vitebsk provinces",Extreme temperature ,Cold wave,0,0,30300,0,2000-0269,--,--
/01/2006,/01/2006,Belarus,BLR,Minsk province,Extreme temperature ,Severe winter conditions,5,1820,0,0,2005-0713,Snow/ice,--
