start_date,end_date,country_name,iso,location,dis_type,dis_subtype,total_deaths,total_affected,total_dam,insured_losses,disaster_no,associated_dis,associated_dis2
11/11/1980,11/11/1980,Philippines (the),PHL,Santa Fe (Vizcaya Province),Mass movement (dry),Rockfall,50,0,0,0,1980-0314,--,--
21/10/1985,21/10/1985,Philippines (the),PHL,South Mindanao,Mass movement (dry),Landslide,300,0,0,0,1985-0125,--,--
08/11/2000,08/11/2000,Philippines (the),PHL,"Apayao, Kalinga districts (Cordillera Administrative region (CAR) province)",Mass movement (dry),Landslide,11,0,0,0,2000-0763,--,--
26/11/1992,26/11/1992,Russian Federation (the),RUS,Dagestan,Mass movement (dry),Avalanche,0,1750,2600,0,1992-0475,--,--
//1993,//1993,Russian Federation (the),RUS,,Mass movement (dry),Avalanche,60,0,0,0,1993-0526,--,--
16/03/1987,16/03/1987,Soviet Union,SUN,Argazan (Tadjikistan),Mass movement (dry),Landslide,52,506,0,0,1987-0074,--,--
/03/1989,/03/1989,Soviet Union,SUN,Checheno-Ingush,Mass movement (dry),Landslide,0,8000,0,0,1989-0035,--,--
13/07/1990,13/07/1990,Soviet Union,SUN,Pik Lenina (Hindu Kush),Mass movement (dry),Avalanche,43,0,0,0,1990-0225,--,--
04/05/1991,04/05/1991,Soviet Union,SUN,"Near Angren (Uzbekistan), Khigiristan",Mass movement (dry),Landslide,50,0,0,0,1991-0155,--,--
18/03/1992,18/03/1992,Tajikistan,TJK,,Mass movement (dry),Avalanche,12,0,0,0,1992-0117,--,--
01/01/1992,07/02/1992,Turkey,TUR,"Sirnak, Siirt, Elazig, Batman, Bingol, Diyarbakir, Hakkari, Tunceli provinces",Mass movement (dry),Avalanche,261,1069,0,0,1992-0010,--,--
/01/1992,/01/1992,Uzbekistan,UZB,,Mass movement (dry),Landslide,1,400,0,0,1992-0497,--,--
