300002,03/09/2010,0,172.631093,6500000,-43.510095,03/09/2010
13840,21/07/2013,0,174.7741187,50000,-41.2850836,21/07/2013
2000,04/01/1968,0,-86.2742602,2000,12.1508994,04/01/1968
0,03/04/1990,0,-85.8188874,0,11.4372451,03/04/1990
750,16/10/1986,0,66.5984881,0,27.8018286,16/10/1986
6,17/06/1990,0,66.9553131,0,30.0439471,17/06/1990
2036,04/05/1991,0,-82.47967539999999,0,9.4131293,04/05/1991
340,13/08/2003,0,-79.9046752,0,9.3640946,13/08/2003
1000,24/06/1986,0,142.004546,500,-4.309134,24/06/1986
0,07/06/1990,0,145.516778,0,-4.5774142,07/06/1990
400,21/08/1985,0,-77.0084921,0,-12.0507229,21/08/1985
0,13/06/2005,0,-71.5330946,50,-16.3998901,13/06/2005
4435,30/01/2012,0,-75.15939110000001,0,-15.3676776,30/01/2012
7084,25/09/2013,0,-71.5330946,0,-16.3998901,25/09/2013
1050,04/06/1982,0,18.921316,0,50.43198590000001,04/06/1982
0,06/10/1908,0,26.7016107,0,48.2405023,06/10/1908
0,12/05/1912,0,26.7016107,0,48.2405023,12/05/1912
0,14/06/1913,0,26.7016107,0,48.2405023,14/06/1913
0,26/01/1916,0,26.7016107,0,48.2405023,26/01/1916
0,14/04/1928,0,26.7016107,0,48.2405023,14/04/1928
0,29/03/1934,0,26.7016107,0,48.2405023,29/03/1934
0,07/09/1945,0,26.7016107,0,48.2405023,07/09/1945
0,09/12/1945,0,26.7016107,0,48.2405023,09/12/1945
0,29/11/2007,0,-60.92750100000001,0,14.09064,29/11/2007
700,12/04/1998,0,13.5416508,0,46.3315205,12/04/1998
3713,08/12/2016,0,160.7921433,0,-8.3695519,08/12/2016
0,12/02/1920,0,18.62084,0,-34.06307,12/02/1920
20,02/02/1999,0,-1.4432732,44004,38.0705333,02/02/1999
96,04/03/2010,0,120.5562768,1000000,24.0806905,04/03/2010
0,19/07/2011,0,69.60148749999999,0,40.2952166,19/07/2011
0,19/05/1901,0,35.7516069,0,-6.162959000000001,19/05/1901
0,19/07/1908,0,35.7516069,0,-6.162959000000001,19/07/1908
0,10/12/1913,0,35.7516069,0,-6.162959000000001,10/12/1913
0,12/07/1995,0,99.84198939999999,0,19.8916596,12/07/1995
2003,04/11/2015,0,125.5800197,4000,-8.5537349,04/11/2015
17,22/04/1997,0,-61.52256069999999,25000,10.6872894,22/04/1997
2645,15/02/1978,0,32.5119373,0,37.837074,15/02/1978
579,07/11/1985,0,32.868527,0,39.930282,07/11/1985
165,12/08/1985,0,28.9965639,0,41.0904831,12/08/1985
1003,11/10/1986,0,27.318909,0,38.219047,11/10/1986
26006,14/08/1996,0,35.2921488,30000,40.5266507,14/08/1996
1016,04/07/1998,0,37.15233,0,38.2983637,04/07/1998
103,05/10/1999,0,36.3177127,0,41.3071085,05/10/1999
480,25/06/2001,0,36.273646,0,37.0546383,25/06/2001
131,10/07/2001,0,41.2833973,0,39.8973139,10/07/2001
240,26/07/2003,0,28.8501413,0,38.0450226,26/07/2003
170,10/04/2003,0,26.8272873,0,38.2102186,10/04/2003
32530,28/03/2004,0,35.4774381,0,38.7075273,28/03/2004
324,24/05/2014,0,27.516471,0,40.983453,24/05/2014
2000,08/08/1988,0,33.2027075,0,0.4230016,08/08/1988
0,24/05/1990,0,32.5941552,0,0.3502952,20/05/1990
0,04/11/1952,0,-154.9710279,900,19.5545944,04/11/1952
2,27/07/1980,0,-84.504925,0,39.054398,27/07/1980
94,24/11/1987,0,-114.6207554,4000,32.6766683,24/11/1987
30,28/02/1990,0,-121.464619,12700,38.5843686,28/02/1990
120,30/03/1990,0,-104.9270121,0,39.75656499999999,30/03/1990
32,22/04/1992,0,-118.284756,100000,34.0294857,22/04/1992
225,26/12/1994,0,-73.9846167,2100,40.7437887,26/12/1994
3529,15/10/2006,0,-154.9710279,150000,19.5545944,15/10/2006
2103,21/02/2008,0,-87.08792509999999,0,45.78015509999999,21/02/2008
0,/07/1985,0,168.2857847,0,-17.7827712,/07/1985
0,19/02/1990,0,168.2857847,0,-17.7827712,19/02/1990
0,05/03/1990,0,168.3194985,0,-17.6999984,05/03/1990
0,13/08/1994,0,167.4171728,0,-16.1065016,13/08/1994
500,03/01/2002,0,168.2857847,0,-17.7827712,03/01/2002
0,25/02/2001,0,70.4424473,0,37.5462854,25/02/2001
690,09/01/1988,0,19.8812117,0,41.2849868,09/01/1988
2100,30/09/1998,0,20.4156148,0,42.015774,30/09/1998
150,07/09/2009,0,20.428656,0,41.6849747,07/09/2009
2250,19/01/1992,0,7.4198846,0,36.4738965,19/01/1992
300,10/01/2004,0,3.0896085,0,36.7231452,10/01/2004
15,01/12/2004,0,3.8220426,0,36.5354429,01/12/2004
0,03/06/1985,0,-124.1076812,0,40.8681259,03/06/1985
5000,18/12/1949,0,-57.5671014,0,-37.9699711,18/12/1949
727,28/05/2002,0,-66.9476782,0,-28.8394041,28/05/2002
15000,18/07/1997,0,44.9965487,33333,41.1707349,18/07/1997
4290,14/10/1968,0,115.9359712,2600,-32.0213675,14/10/1968
0,/06/1979,0,115.9380901,7075,-32.0722537,/06/1979
5025,06/08/1994,0,151.3560185,0,-32.840719,06/08/1994
0,12/04/1998,0,13.6992428,0,46.5708504,12/04/1998
15550,07/05/2012,0,46.4251837,0,41.7046241,07/05/2012
6949,18/05/2012,0,46.9333866,0,41.5434062,18/05/2012
1,29/11/2007,0,-59.6181339,0,13.1041276,29/11/2007
0,13/04/1992,0,4.3639297,100000,51.1522562,13/04/1992
