5000,10/01/2007,0,-38.56877490000001,0,-3.7258626,10/01/2007
100,09/05/1977,0,-75.5251432,0,5.0836435,09/05/1977
593,07/02/2009,0,-74.18241809999999,0,4.5867679,07/02/2009
500,22/12/1998,0,-149.5782792,0,-17.5634178,22/12/1998
1060,16/10/1989,0,-72.3540644,0,18.5327562,16/10/1989
200,11/06/1979,0,114.2034889,0,22.338455,11/06/1979
6000,06/11/1981,0,110.3806102,0,-7.8136052,06/11/1981
310,30/10/2001,0,114.0160447,0,4.450856,30/10/2001
600,23/10/2001,0,98.70336429999999,0,3.5712031,23/10/2001
4000,14/12/1982,0,13.56727,700000,43.544303,14/12/1982
0,22/05/1983,0,9.441346099999999,0,45.6121478,22/05/1983
130,12/08/1998,0,136.7575569,0,35.418635,12/08/1998
0,04/07/1981,0,-118.3049844,0,34.0612439,04/07/1981
1002,02/05/2002,0,74.4844231,1500,42.86586740000001,02/05/2002
8350,03/06/2010,0,73.004921,0,40.928878,03/06/2010
600,06/08/1979,0,176.5758602,2466,-39.9440129,06/08/1979
1500,/12/1988,0,6.8070927,0,6.152307,/12/1988
0,18/04/1983,0,-82.0140553,0,27.9938866,18/04/1983
600,01/08/2003,0,152.4390364,0,-3.6703968,01/08/2003
330,/03/1999,0,26.7016107,0,48.2405023,/03/1999
300,29/12/1996,0,44.53586,0,40.1600172,29/12/1996
175,/10/1996,0,-78.7396498,0,42.9114434,/10/1996
2000,//1988,0,8.5632071,0,46.6168771,//1988
125,20/02/1994,0,-118.4571348,0,34.0203058,20/02/1994
