400,/01/1992,1,69.67235339999999,0,41.1520664,/01/1992
2006,12/11/1955,3,-73.5335068,0,45.3859086,12/11/1955
5105,06/10/1990,4,120.752858,0,27.968831,06/10/1990
15,27/02/1983,9,5.0684295,0,47.3017413,27/02/1983
0,//1989,10,-98.21958049999999,0,18.9664316,//1989
5,18/06/2006,11,114.543126,0,36.644092,18/06/2006
