affected,end_date,deaths,lon,damage,lat,start_date,extra
NULL,1905,NULL,-139.58,NULL,60,1905,{'Location': 'DISENCHANTMENT BAY;AK'}
NULL,1905,114.0,142.6,NULL,37.4,1905,{'Location': 'JAPAN:  OFF FUKUSHIMA'}
NULL,1905,NULL,-172.525,NULL,-13.612,1905,{'Location': 'MATAVANU VOLCANO'}
NULL,1905,NULL,16,NULL,39,1905,{'Location': 'CALABRIAN ARC'}
NULL,1905,NULL,37.5,NULL,44.5,1905,{'Location': 'BLACK SEA'}
NULL,1905,NULL,42,NULL,42,1905,{'Location': 'CAUCASUS'}
NULL,1905,NULL,168.3,NULL,-17.7,1905,{'Location': 'PORT VILA'}
NULL,1905,NULL,168.3,NULL,-17.7,1905,{'Location': 'PORT VILA'}
NULL,1905,NULL,123.5,NULL,11,1905,{'Location': 'W. LUZON ISLAND'}
NULL,1905,NULL,153.4,NULL,-28.016667,1905,{'Location': 'GOLD COAST'}
NULL,1905,NULL,9.9,NULL,37.3,1905,{'Location': 'BALEARIC SEA'}
NULL,1906,2000.0,-81.5,NULL,1,1906,{'Location': 'OFF COAST'}
NULL,1906,NULL,-66.916,NULL,10.5,1906,{'Location': 'CARACAS'}
NULL,1906,NULL,-81,NULL,1,1906,{'Location': 'COLOMBIA-ECUADOR'}
NULL,1906,NULL,-77.033,NULL,3.9,1906,{'Location': 'BUENAVENTURA'}
NULL,1906,NULL,14.426,NULL,40.821,1906,{'Location': 'TYRRHENIAN SEA'}
NULL,1906,NULL,-122.5,NULL,37.7,1906,{'Location': 'N. CALIFORNIA'}
NULL,1906,NULL,-70.3,NULL,-18.5,1906,{'Location': 'NORTHERN CHILE'}
NULL,1906,NULL,-88.83,NULL,13.25,1906,{'Location': 'OFF COAST'}
NULL,1906,NULL,166.8417424,NULL,11.3246908,1906,{'Location': 'MARSHALL ISLANDS'}
NULL,1906,NULL,-117,NULL,33.9,1906,{'Location': 'S. CALIFORNIA'}
NULL,1906,4000.0,-72,100000000.0,-33,1906,{'Location': 'CENTRAL CHILE'}
NULL,1906,NULL,149,NULL,-7,1906,{'Location': 'SOLOMON SEA'}
NULL,1906,NULL,149,NULL,-4,1906,{'Location': 'BISMARCK SEA'}
NULL,1906,NULL,-123.1386021,NULL,45.5469616,1906,{'Location': 'WASHINGTON-OREGON'}
NULL,1906,NULL,0.3,NULL,6.5,1906,{'Location': 'GOLD COAST'}
NULL,1906,NULL,-172.525,NULL,-13.612,1906,{'Location': 'MATAVANU VOLCANO'}
NULL,1906,NULL,-71,NULL,-18,1906,{'Location': 'S. PERU'}
NULL,1906,NULL,-66.95,NULL,10.6,1906,{'Location': 'MAIQUETIA'}
NULL,1907,800.0,94.5,NULL,2,1907,{'Location': 'NW. SUMATRA'}
NULL,1907,1000.0,-76.8,30000000.0,18,1907,{'Location': 'JAMAICA'}
NULL,1907,NULL,122,NULL,3,1907,{'Location': 'KARAKELONG;TALAUD ISLANDS'}
NULL,1907,8.0,-100,NULL,17,1907,{'Location': 'S. MEXICO'}
NULL,1907,NULL,-172.525,NULL,-13.612,1907,{'Location': 'MATAVANU VOLCANO'}
NULL,1907,NULL,-172.525,NULL,-13.612,1907,{'Location': 'MATAVANU VOLCANO'}
NULL,1907,NULL,-172.525,NULL,-13.612,1907,{'Location': 'MATAVANU VOLCANO'}
NULL,1907,NULL,-172.525,NULL,-13.612,1907,{'Location': 'MATAVANU VOLCANO'}
NULL,1907,NULL,-172.525,NULL,-13.612,1907,{'Location': 'MATAVANU VOLCANO'}
NULL,1907,NULL,-175.65,NULL,-21.38,1907,{'Location': 'TONGA ISLANDS'}
NULL,1907,NULL,-135.5,NULL,59.5,1907,{'Location': 'SKAGWAY;AK'}
NULL,1907,NULL,-172.525,NULL,-13.612,1907,{'Location': 'MATAVANU VOLCANO'}
NULL,1907,158.0,16.017,NULL,38.133,1907,{'Location': 'IONIAN CALABRIA'}
NULL,1907,NULL,142.5,NULL,-3.1,1907,{'Location': 'BISMARCK SEA'}
NULL,1908,NULL,100,NULL,-2,1908,{'Location': 'SW. SUMATRA'}
NULL,1908,NULL,-146.2,NULL,61,1908,{'Location': 'PRINCE WILLIAM SOUND;AK'}
NULL,1908,NULL,129,NULL,-10,1908,{'Location': 'TIMOR SEA'}
NULL,1908,NULL,34,NULL,44,1908,{'Location': 'CRIMEA'}
NULL,1908,NULL,-62.133,NULL,48.958,1908,{'Location': 'GULF OF SAINT LAWRENCE'}
NULL,1908,NULL,-155,NULL,19,1908,{'Location': 'HAWAII'}
NULL,1908,NULL,-78,NULL,-14,1908,{'Location': 'S. PERU'}
NULL,1908,82000.0,15.58,116000000.0,38.17,1908,{'Location': 'MESSINA STRAIT;IONIAN SEA'}
NULL,1909,NULL,-159,NULL,-21,1909,{'Location': 'RAROTONGA'}
NULL,1909,NULL,141.5,NULL,34.5,1909,{'Location': 'OFF BOSO PENINSULA'}
NULL,1909,NULL,141.5,NULL,34.5,1909,{'Location': 'OFF BOSO PENINSULA'}
NULL,1909,NULL,101,NULL,-2,1909,{'Location': 'SUMATRA'}
NULL,1909,NULL,-70.5,NULL,-26.5,1909,{'Location': 'NORTHERN CHILE'}
NULL,1909,NULL,167.2,NULL,-15.5,1909,{'Location': 'VANUATU ISLANDS'}
NULL,1909,NULL,-99.8,NULL,16.8,1909,{'Location': 'S. MEXICO'}
NULL,1909,41.0,136.3,NULL,35.4,1909,{'Location': 'ANEGAWA;JAPAN'}
NULL,1909,600.0,-89.9985064,NULL,29.2326686,1909,{'Location': 'LOUISIANA: GRAND ISLE'}
NULL,1909,NULL,145,NULL,12.5,1909,{'Location': 'GUAM;MARIANA ISLANDS'}
NULL,1910,NULL,152.25,NULL,-4.25,1910,{'Location': 'MATUPI HARBOR'}
NULL,1910,NULL,175.9150389,NULL,-38.791557,1910,{'Location': 'LAKE TAUPO;NORTH ISLAND'}
NULL,1910,NULL,-165,NULL,64,1910,{'Location': 'NOME;AK'}
NULL,1910,NULL,166.5,NULL,-14,1910,{'Location': 'VANUATU ISLANDS'}
NULL,1910,NULL,-95.712891,NULL,37.09024,1910,{'Location': 'SAN FRANCISCO;CA'}
NULL,1910,NULL,127,NULL,4,1910,{'Location': 'SULAWESI'}
NULL,1910,NULL,125.5,NULL,9,1910,{'Location': 'SULU SEA'}
199.0,1911,1385.0,120.993,NULL,14.002,1911,{'Location': 'TAAL;LUZON ISLAND'}
NULL,1911,NULL,20.8,NULL,40.9,1911,{'Location': 'OCHRIDA LAKE'}
NULL,1911,NULL,152.25,NULL,-4.25,1911,{'Location': 'BLANCHE BAY;BISMARCK SEA'}
NULL,1911,NULL,1.2,NULL,6.1,1911,{'Location': 'GOLD COAST'}
NULL,1911,12.0,130,NULL,28,1911,{'Location': 'RYUKYU ISLANDS'}
NULL,1911,NULL,126,NULL,9,1911,{'Location': 'PHILIPPINE TRENCH'}
NULL,1911,NULL,-72,NULL,-20,1911,{'Location': 'NORTHERN CHILE'}
NULL,1911,NULL,-149,NULL,60.5,1911,{'Location': 'PRINCE WILLIAM SOUND;AK'}
NULL,1911,NULL,-61.2,NULL,10.5,1911,{'Location': 'TRINIDAD'}
NULL,1912,NULL,20.67,NULL,38.12,1912,{'Location': 'IONIAN SEA'}
NULL,1912,NULL,-81,NULL,42,1912,{'Location': 'SOUTHERN SHORE;LAKE ERIE (OHIO)'}
NULL,1912,NULL,142,NULL,40.5,1912,{'Location': 'SANRIKU'}
NULL,1912,NULL,27.2,NULL,40.5,1912,{'Location': 'MARMARA SEA'}
NULL,1912,NULL,138,NULL,7,1912,{'Location': 'CAROLINE ISLANDS'}
NULL,1913,NULL,171.5,NULL,-41.8,1913,{'Location': 'TASMAN SEA'}
NULL,1913,138.0,126.121,NULL,5.354,1913,{'Location': 'SANGIHE ISLAND'}
1.0,1913,NULL,-74.525,10000.0,39.314,1913,{'Location': 'LONGPORT;NJ'}
NULL,1913,NULL,-73.3,NULL,-16.6,1913,{'Location': 'S. PERU'}
NULL,1913,NULL,-74,NULL,-17,1913,{'Location': 'S. PERU'}
NULL,1913,NULL,148,NULL,-7,1913,{'Location': 'SOLOMON SEA'}
NULL,1913,NULL,-95.712891,NULL,37.09024,1913,{'Location': 'SANTA BARBARA;S. CALIFORNIA'}
112.0,1914,63.0,130.67,19000000.0,31.58,1914,{'Location': 'SEIKAIDO'}
NULL,1914,NULL,-76.6,NULL,-12,1914,{'Location': 'CENTRAL PERU'}
NULL,1914,NULL,10.2,NULL,43.5,1914,{'Location': 'LIGURIAN SEA'}
NULL,1914,NULL,-72,NULL,-17,1914,{'Location': 'S. PERU'}
NULL,1914,NULL,113.921327,NULL,-0.789275,1914,{'Location': 'INDONESIA'}
NULL,1914,NULL,136.943,NULL,-1.829,1914,{'Location': 'NW. IRIAN JAYA'}
NULL,1914,NULL,-62.133,NULL,48.958,1914,{'Location': 'GULF OF SAINT LAWRENCE'}
20.0,1914,20.0,101.82,NULL,-3.924,1914,{'Location': 'INDONESIA'}
NULL,1914,1.0,178.2,NULL,-37.8,1914,{'Location': 'TOLAGA BAY;NORTH ISLAND'}
NULL,1914,14.0,20.6,NULL,38.8,1914,{'Location': 'IONIAN SEA'}
NULL,1914,NULL,128.2,NULL,-3.7,1914,{'Location': 'AMBON ISLAND'}
