id,lon,lat
6,34.851612,31.046051
5481,80.77179699999999,7.873053999999999
15,34.851612,31.046051
19,29.9187387,31.2000924
34,33.429859,35.126413
40,23.5,38.55
5457,130.958688,32.6453356
63,140.6448128,35.9657558
70,139.7571612,35.6957692
75,34.851612,31.046051
80,51.6834275,26.7505337
82,36.1,35.25
3103,28.1122679,40.6681407
95,138.252924,36.204824
99,3.515625,56.511018
3113,14.1466046,40.6871039
127,25.1612972,35.3441944
2318,28.1122679,40.6681407
132,140.6448128,35.9657558
139,-121.2386632,38.5472263
148,137.7911688,34.7300877
147,-155.5827818,19.8967662
4271,-9.1393366,38.7222524
158,134.5593601,34.0657179
161,139.7571612,35.6957692
4265,-25.6755944,37.7412488
166,35.233154,31.952162
167,-99.0403085,19.586396
3483,25.4915146,37.69882610000001
181,138.5723034,35.6748812
3484,28.1122679,40.6681407
182,5.291265999999999,52.132633
188,140.872183,38.268737
209,138.252924,36.204824
241,25.3182761,35.3336674
242,21.824312,39.074208
250,121.2626366,16.5662318
266,126.6093926,-5.703938099999999
267,137.7911688,34.7300877
273,138.252924,36.204824
274,-75.015152,-9.189967
276,-19.020835,64.963051
284,140.8266406,35.7346813
3135,-82.4487274,27.081286
289,142.0,39.3333333
305,138.252924,36.204824
3487,25.268555,39.019184
320,140.6514693,36.5991539
327,137.747311,34.668899
5302,101.3431058,-0.589724
3137,14.1466046,40.6871039
332,-75.015152,-9.189967
333,114.404754,15.488092
334,-71.542969,-35.675147
336,138.252924,36.204824
342,142.0,39.3333333
3138,14.1466046,40.6871039
344,-75.015152,-9.189967
343,126.6093926,-5.703938099999999
4269,-25.6755944,37.7412488
351,140.4747282,37.7608337
352,141.3029167,38.4344802
356,130.958688,32.6453356
357,137.747311,34.668899
3148,25.4615092,36.3931562
3149,14.1466046,40.6871039
388,137.7911688,34.7300877
3151,14.1466046,40.6871039
3152,2.8577105,39.5341789
390,136.7478493,34.7080871
3153,14.1466046,40.6871039
3687,-76.969425,-12.1340812
3158,14.4509125,40.7540553
401,142.0,39.3333333
2691,88.36389500000001,22.572646
3489,22.5721881,38.193588
3163,11.2032186,42.3951471
425,-8.224454,39.39987199999999
441,140.8721,38.2688373
446,35.7952667,35.5407103
3491,28.1122679,40.6681407
4284,-8.4115401,43.3623436
4285,2.8577105,39.5341789
3492,21.824312,39.074208
467,-75.7367268,43.1753331
3188,14.1466046,40.6871039
493,-7.692053599999999,53.1423672
508,114.5548495,0.9618833999999999
