affected,end_date,deaths,lon,damage,lat,start_date
0,24/09/2007,18,4.5379514,29500,35.7301413,21/09/2007
1203,02/12/2007,14,3.0622323,0,36.786718,24/11/2007
59050,17/10/2008,93,2.8711857,348000,30.5974801,01/10/2008
2548,27/01/2009,33,2.4524456,0,35.8257905,20/01/2009
0,13/09/2009,15,4.5379514,0,35.7301413,10/09/2009
45,14/02/2012,49,-0.6512508,0,35.7015357,03/02/2012
56,02/09/2012,20,8.104504200000001,0,35.39700029999999,31/08/2012
35000,28/10/2015,0,-1.9264212,0,34.6711791,16/10/2015
3,19/05/2003,6,-170.711389,50000,-14.331389,18/05/2003
100000,/04/1989,0,13.8357568,0,-11.1963259,/04/1989
6000,27/03/2000,3,13.5239309,0,-8.409336099999999,27/03/2000
3000,10/04/2000,1,13.5511215,0,-10.2535551,10/04/2000
600,20/02/2003,9,13.2656626,0,-8.8686969,06/02/2003
225,23/11/2003,6,15.0506258,0,-7.613827,22/11/2003
0,02/06/2004,0,13.1888598,0,-8.9214152,01/02/2004
10000,28/03/2005,0,14.9090766,0,-9.3042743,27/01/2005
225,/01/2006,0,13.4953657,0,-14.9164762,/01/2006
6000,10/05/2007,0,13.1888598,0,-8.9214152,10/01/2007
40000,25/01/2007,105,13.2656626,0,-8.8686969,17/01/2007
81400,03/03/2008,7,17.7192104,0,-14.6605954,31/01/2008
415,16/02/2009,2,13.2656626,0,-8.8686969,14/02/2009
4650,10/12/2009,0,13.2436692,0,-8.826850499999999,10/12/2009
3895,18/10/2010,18,13.2656626,0,-8.8686969,15/10/2010
0,04/01/2011,17,13.2656626,0,-8.8686969,03/01/2011
65084,/03/2011,113,15.7273565,0,-17.0664611,/03/2011
5500,09/01/2012,0,15.0506258,0,-7.613827,15/12/2011
1000,07/04/2013,9,13.2656626,0,-8.8686969,06/04/2013
2000,14/02/2015,5,13.5906026,0,-8.860318399999999,13/02/2015
2000,23/03/2015,1,13.2656626,0,-8.8686969,09/03/2015
1000,23/03/2015,69,13.2656626,0,-8.8686969,09/03/2015
0,29/02/2016,54,13.4953657,0,-14.9164762,29/02/2016
2755,06/03/2016,6,13.8408505,0,-11.2057717,03/03/2016
3200,22/04/2016,19,-84.80563099999999,0,41.607747,19/04/2016
1544,10/03/2016,30,13.8408505,0,-11.2057717,01/03/2016
0,/07/1958,360,-58.42375200000001,0,-34.6011716,/07/1958
120000,28/02/1966,62,-58.42375200000001,30000,-34.6011716,28/02/1966
212000,10/10/1967,56,-58.37689810000001,3000,-34.59315369999999,10/10/1967
0,04/01/1970,36,-60.62551619999999,25000,-32.9539718,04/01/1970
2500,/01/1977,0,-58.42375200000001,0,-34.6011716,/01/1977
1600,/01/1978,0,-56.8710074,0,-37.1264681,/01/1978
20000,/05/1979,0,-58.4280915,0,-34.6206704,/05/1979
4000,15/03/1980,10,-58.0585148,0,-34.861923,15/03/1980
36000,01/05/1980,31,-58.3815591,0,-34.6036844,01/05/1980
50000,/12/1982,0,-58.42375200000001,0,-34.6011716,/12/1982
5830000,/05/1983,0,-44.2167644,1000000,-2.5016021,/05/1983
250000,/10/1983,0,-58.42375200000001,800000,-34.6011716,/08/1983
206000,/10/1985,12,-58.3815591,1300000,-34.6036844,/10/1985
1000000,30/05/1985,25,-58.6155901,230000,-34.4522885,30/05/1985
204000,06/05/1986,3,-58.42880939999999,0,-34.6171757,11/04/1986
12000,/04/1987,0,-58.3815591,0,-34.6036844,/04/1987
4600000,23/03/1988,25,-58.3815591,490000,-34.6036844,23/03/1988
2000,/04/1990,21,-58.3815591,0,-34.6036844,/04/1990
2000,06/01/1992,45,-68.9394157,250000,-37.3870157,01/01/1992
86074,02/07/1992,0,-58.4280915,260000,-34.6206704,01/04/1992
0,15/05/1993,0,-58.39628749999999,400000,-34.6094644,11/05/1993
0,/01/1993,0,-58.42880939999999,92000,-34.6171757,/01/1993
0,/09/1993,0,-58.3815591,600000,-34.6036844,/09/1993
1000,21/01/1995,0,-58.5448215,0,-34.6589787,21/01/1995
1500,17/03/1995,0,-68.47748899999999,0,-33.0965863,17/03/1995
12500,04/11/1997,0,-58.4993234,0,-34.4920005,04/11/1997
360000,24/06/1998,19,-59.2576482,1100000,-29.1336372,11/04/1998
6000,17/03/2000,7,-58.40765990000001,0,-34.610248,09/03/2000
30040,15/05/2000,4,-57.53009199999999,0,-38.023724,15/05/2000
0,16/11/2000,0,-58.3815591,300000,-34.6036844,09/11/2000
1800,22/11/2000,2,-61.38883689999999,0,-32.8382015,22/11/2000
600,21/03/2001,0,-58.3815591,0,-34.6036844,21/03/2001
700,/07/2001,0,-58.3917004,0,-34.7362818,/07/2001
250000,01/12/2001,1,-58.3815591,750000,-34.6036844,01/10/2001
6000,12/10/2002,4,-58.3815591,0,-34.6036844,12/10/2002
6000,02/11/2002,4,-58.3815591,0,-34.6036844,12/10/2002
3000,10/02/2003,4,-58.4566864,0,-34.5620844,10/02/2003
160000,10/05/2003,23,-54.6891747,1028210,-27.0222264,28/04/2003
1307,01/07/2004,5,-58.6881855,0,-34.5450496,01/07/2004
5000,10/12/2004,0,-58.42880939999999,0,-34.6171757,06/12/2004
4500,/04/2006,0,-58.3834605,0,-34.6085748,/03/2006
65000,20/03/2007,5,-58.36864909999999,30000,-34.6004204,18/01/2007
70000,26/04/2007,5,-58.3960706,10000,-34.599336,20/03/2007
85000,30/03/2008,0,-65.4617009,0,-24.8542445,28/01/2008
30618,22/11/2009,7,-58.42880939999999,0,-34.6171757,14/11/2009
3510,28/12/2009,2,-59.00544739999999,0,-34.3029463,28/12/2009
10000,04/12/2012,6,-58.4993234,0,-34.4920005,20/11/2012
350000,07/04/2013,52,-58.3815591,1300000,-34.6036844,01/04/2013
2000,08/04/2014,0,-70.2674427,0,-37.3829787,01/04/2014
0,30/06/2014,0,-58.42880939999999,62000,-34.6171757,07/06/2014
5203,04/11/2014,3,-58.3815591,0,-34.6036844,30/10/2014
15000,04/03/2015,2,-64.2064994,0,-31.3856238,04/03/2015
50000,12/08/2015,3,-58.5765604,0,-34.6526937,05/08/2015
76133,11/01/2016,6,-58.0415445,0,-31.3715228,20/12/2015
72119,10/04/2016,0,-58.021441,1300000,-31.4082472,04/04/2016
7000,22/06/1997,4,46.3438725,8000,39.49939940000001,22/06/1997
144,30/05/1998,0,44.5832832,120,40.2173546,30/05/1998
0,09/03/2004,1,44.3731356,0,40.3326624,05/03/2004
0,/02/1955,70,115.9359712,0,-32.0213675,/02/1955
0,09/02/1971,27,151.0659235,20000,-33.9131654,09/02/1971
12000,/12/1973,12,153.1755074,71000,-27.6623065,/12/1973
0,/01/1974,14,152.8623409,5972,-27.6016682,/01/1974
0,/03/1975,0,151.1746559,54684,-33.8880158,/03/1975
10000,/10/1976,0,149.2265238,0,-35.3563591,/10/1976
0,/03/1977,0,151.5578908,17686,-33.1947491,/03/1977
0,/03/1978,6,151.1746559,17258,-33.8880158,/03/1978
0,/05/1978,1,145.3674516,3452,-38.0437813,/05/1978
0,/01/1981,2,153.1755074,11279,-27.6623065,/01/1981
0,/08/1981,0,151.2483433,150000,-33.8731099,/08/1981
0,/02/1981,0,151.2656907,38236,-27.1866599,/02/1981
0,09/11/1984,36,151.2140896,3000,-33.8799386,09/11/1984
0,/12/1985,0,147.1537083,5778,-41.4590373,/12/1985
0,03/08/1986,8,115.8946674,64200,-31.9354827,03/08/1986
0,/03/1988,6,133.878179,0,-23.696283,/03/1988
0,/04/1988,0,151.9880998,68055,-27.583904,/04/1988
0,//1988,10,115.9359712,0,-32.0213675,//1988
0,/04/1989,9,151.9880998,0,-27.583904,/04/1989
0,16/01/1991,6,153.3695824,78200,-28.0483452,25/12/1990
20530,15/10/1993,1,153.4301196,4600,-28.0295793,03/10/1993
3106,25/11/1996,1,153.1140183,131000,-30.2966793,25/11/1996
10120,09/05/1996,4,152.8623409,205300,-27.6016682,02/05/1996
400,04/02/1997,0,153.4292613,0,-28.0267303,04/02/1997
200,01/02/1998,2,150.9120064,61300,-33.8745207,01/01/1998
1175,28/01/1998,2,153.0672301,100000,-27.4858298,25/01/1998
7000,05/03/1998,0,153.1755074,0,-27.6623065,05/03/1998
300,24/06/1998,1,145.106277,0,-37.900291,22/06/1998
200,08/09/1998,14,147.7693438,100000,-29.7455596,17/07/1998
6300,09/09/1998,1,151.1480447,122700,-33.93432,21/07/1998
600,02/12/2000,0,149.8525388,265000,-29.4741905,17/11/2000
330,/01/2001,1,150.9471208,12000,-33.8657702,/01/2001
0,01/02/2001,0,153.0167393,0,-30.1335026,01/02/2001
670,23/02/2001,0,131.2158298,13000,-16.8166002,18/02/2001
3001,15/03/2001,3,149.3410204,200000,-36.1696512,08/03/2001
20,12/02/2003,1,150.9876946,2000,-34.2298395,05/02/2003
100,24/02/2003,0,152.9390798,0,-29.6952301,21/02/2003
300,18/05/2003,0,151.3274295,0,-33.4491887,13/05/2003
50,02/12/2003,0,145.000331,75000,-37.76341499999999,02/12/2003
3400,25/02/2004,0,139.490431,32000,-20.7277689,14/01/2004
100,22/10/2004,0,138.519917,5500,-35.0016513,19/10/2004
120,22/12/2004,3,150.5888605,15000,-25.624431,08/12/2004
3000,03/07/2005,3,153.3198869,58000,-27.880603,30/06/2005
1100,10/04/2006,0,151.1198896,0,-33.7896317,05/04/2006
5000,12/06/2007,9,151.3274295,1300000,-33.4491887,08/06/2007
3000,09/01/2008,1,152.8623409,90000,-27.6016682,03/01/2008
3200,01/02/2008,0,151.0676986,600000,-34.0062304,14/01/2008
1000,26/02/2008,2,149.1846228,1100000,-21.1195828,13/02/2008
1200,23/11/2008,4,145.013408,275000,-37.679089,20/11/2008
200,28/12/2009,0,151.5578908,0,-33.1947491,25/12/2009
9000,25/02/2009,7,153.1755074,150000,-27.6623065,13/01/2009
0,16/02/2010,0,149.8308067,0,-36.6643143,13/02/2010
0,17/03/2010,0,146.2348929,109000,-26.4121356,28/02/2010
10000,15/09/2010,0,147.0000239,0,-41.3475538,01/09/2010
1000,06/12/2010,0,146.8263027,0,-19.4206593,27/11/2010
175000,04/02/2011,35,151.5578908,7300000,-33.1947491,25/12/2010
217,18/03/2011,0,138.5967096,0,-34.89819600000001,14/03/2011
13000,07/03/2012,2,151.5578908,225000,-33.1947491,22/01/2012
3000,16/03/2012,2,151.5578908,363000,-33.1947491,24/02/2012
0,03/05/2015,6,153.1755074,400000,-27.6623065,30/04/2015
280,22/09/2016,1,151.2483433,0,-33.8731099,10/09/2016
0,13/10/1980,0,15.6942094,0,46.9939141,13/10/1980
0,18/05/1982,0,12.985545,0,47.793652,18/05/1982
0,22/09/1983,0,16.3761738,0,48.2066887,22/09/1983
0,07/08/1985,12,15.5503673,0,47.6751857,07/08/1985
0,06/08/1991,5,12.6049021,82000,47.2755254,02/08/1991
0,27/06/1995,2,12.6049021,200,47.2755254,27/06/1995
0,23/06/1996,0,12.6049021,5000,47.2755254,19/06/1996
0,22/07/1997,3,12.6049021,175000,47.2755254,08/07/1997
0,30/06/1999,3,12.6049021,32000,47.2755254,11/05/1999
60000,20/08/2002,9,16.2748525,2400000,48.123788,12/08/2002
900,12/07/2005,0,12.6049021,0,47.2755254,10/07/2005
0,26/08/2005,4,14.4450299,700000,47.1984609,21/08/2005
516,17/04/2006,0,15.6326184,0,48.1982382,28/03/2006
0,28/06/2009,1,16.4128253,200000,47.5959669,22/06/2009
0,19/07/2009,0,15.4590253,0,47.0692217,16/07/2009
200,03/06/2013,4,12.6049021,1000000,47.2755254,02/06/2013
0,01/06/2016,0,12.6049021,0,47.2755254,01/06/2016
1650000,25/06/1995,0,49.8670925,6700,40.40926169999999,15/06/1995
6000,05/10/1995,5,48.87498739999999,4000,41.2843472,05/10/1995
75000,05/06/1997,11,45.4665444,25000,40.7436203,05/06/1997
31500,04/06/2003,0,49.0703486,55000,40.9133383,16/04/2003
5000,21/09/2009,0,48.9329794,0,40.046031,21/09/2009
70000,13/05/2010,3,48.4765208,0,40.0080037,04/05/2010
0,/06/1988,0,-82.64828090000002,0,27.7435096,/06/1988
0,//1960,10000,91.71524289999999,0,22.5023678,//1960
0,/07/1963,30,91.71524289999999,0,22.5023678,/07/1963
1000000,/07/1964,0,89.24430369999999,5000,25.7200561,/07/1964
500000,/06/1966,39,91.86624619999999,1000,24.9086127,/06/1966
10000000,/07/1970,0,91.71524289999999,25000,22.5023678,/07/1970
0,25/06/1972,50,91.86624619999999,0,24.9086127,25/06/1972
0,/03/1973,427,91.71524289999999,0,22.5023678,/03/1973
0,/08/1973,0,91.71524289999999,0,22.5023678,/08/1973
38000000,/07/1974,28700,91.71524289999999,579200,22.5023678,/07/1974
4000000,15/06/1976,168,90.4255915,0,23.7686441,15/06/1976
